order_item_id,order_id,product_id,quantity,selling_price
OI000046,ORD011496,PROD00746,2,152712
OI000047,ORD096611,PROD00660,4,380724
OI000048,ORD050050,PROD00316,2,104780
OI000049,ORD035572,PROD00223,1,36478
OI000050,ORD041742,PROD00453,2,140862
OI000051,ORD066113,PROD00963,3,192798
OI000052,ORD048077,PROD00545,4,204316
OI000053,ORD015590,PROD00018,4,293936
OI000054,ORD033469,PROD00834,4,39732
OI000055,ORD003744,PROD00416,4,285316
OI000056,ORD048631,PROD00241,3,183189
OI000057,ORD047093,PROD00788,2,141306
OI000058,ORD011213,PROD00983,3,64452
OI000059,ORD072005,PROD00433,1,89918
OI000060,ORD027685,PROD00449,1,771
OI000061,ORD016209,PROD00919,4,229704
OI000062,ORD064896,PROD00478,2,181272
OI000063,ORD009377,PROD00043,1,27823
OI000064,ORD054912,PROD00498,3,76593
OI000065,ORD024351,PROD00304,2,195236
OI000066,ORD075169,PROD00552,2,123316
OI000067,ORD002797,PROD00278,1,9815
OI000068,ORD029710,PROD00732,3,126576
OI000069,ORD030929,PROD00439,3,273336
OI000070,ORD077613,PROD00773,2,69930
OI000071,ORD011237,PROD00414,3,97413
OI000072,ORD057048,PROD00883,2,182212
OI000073,ORD075915,PROD00083,4,233792
OI000074,ORD095905,PROD00675,4,43620
OI000075,ORD014309,PROD00727,1,69026
OI000076,ORD032932,PROD00839,2,192288
OI000077,ORD085065,PROD00306,2,24858
OI000078,ORD075997,PROD00468,2,52270
OI000079,ORD097279,PROD00407,4,167516
OI000080,ORD071471,PROD00803,2,189896
OI000081,ORD023851,PROD00099,1,46513
OI000082,ORD007968,PROD00040,4,208096
OI000083,ORD036437,PROD00414,1,32471
OI000084,ORD087866,PROD00504,4,90856
OI000085,ORD009138,PROD00436,1,23277
OI000086,ORD062817,PROD00345,1,11238
OI000087,ORD064708,PROD00497,1,7199
OI000088,ORD095354,PROD00451,4,166096
OI000089,ORD031107,PROD00960,2,84142
OI000090,ORD071401,PROD00936,4,315228
OI000091,ORD045420,PROD00783,2,169260
OI000092,ORD032910,PROD00569,1,64479
OI000093,ORD077955,PROD00884,2,177306
OI000094,ORD023886,PROD00978,3,65700
OI000095,ORD073881,PROD00218,1,64415
OI000096,ORD067713,PROD00697,1,78745
OI000097,ORD081280,PROD00485,3,271359
OI000098,ORD024362,PROD00679,3,42132
OI000099,ORD070351,PROD00372,4,242580
OI000100,ORD057782,PROD00948,3,20769
OI000101,ORD089630,PROD00689,2,47724
OI000102,ORD083906,PROD00416,2,142658
OI000103,ORD004740,PROD00333,2,149240
OI000104,ORD046209,PROD00689,3,71586
OI000105,ORD085898,PROD00192,3,96651
OI000106,ORD018718,PROD00511,4,145296
OI000107,ORD024133,PROD00322,3,234966
OI000108,ORD001136,PROD00205,4,124428
OI000109,ORD094543,PROD00305,1,98964
OI000110,ORD050347,PROD00228,1,73894
OI000111,ORD072491,PROD00456,4,90080
OI000112,ORD045189,PROD00859,3,152103
OI000113,ORD014981,PROD00566,4,278476
OI000114,ORD013694,PROD00829,2,148194
OI000115,ORD062947,PROD00955,4,81816
OI000116,ORD073201,PROD00414,4,129884
OI000117,ORD086556,PROD00535,4,315660
OI000118,ORD018886,PROD00810,3,22893
OI000119,ORD002572,PROD00271,4,344228
OI000120,ORD041395,PROD00465,3,219090
OI000121,ORD024504,PROD00451,2,83048
OI000122,ORD090977,PROD00380,1,55777
OI000123,ORD009910,PROD00639,3,26982
OI000124,ORD089460,PROD00606,1,79851
OI000125,ORD055383,PROD00872,2,175992
OI000126,ORD062920,PROD00789,3,246018
OI000127,ORD036437,PROD00757,2,43442
OI000128,ORD018471,PROD00605,1,16097
OI000129,ORD084185,PROD00915,4,52096
OI000130,ORD090939,PROD00010,1,79016
OI000131,ORD000081,PROD00696,2,147090
OI000132,ORD015920,PROD00302,2,180910
OI000133,ORD051928,PROD00094,3,111042
OI000134,ORD015367,PROD00276,3,32397
OI000135,ORD058434,PROD00002,2,74616
OI000136,ORD013627,PROD00997,4,26520
OI000137,ORD070128,PROD00713,4,64748
OI000138,ORD026779,PROD00321,4,295600
OI000139,ORD091858,PROD00932,2,150010
OI000140,ORD017723,PROD00186,4,348144
OI000141,ORD025734,PROD00551,4,312560
OI000142,ORD087616,PROD00385,4,100528
OI000143,ORD052540,PROD00966,4,355056
OI000144,ORD030565,PROD00999,3,197682
OI000145,ORD090604,PROD00501,2,95568
OI000146,ORD064753,PROD00494,3,70716
OI000147,ORD099604,PROD00778,4,392036
OI000148,ORD084960,PROD00330,3,146985
OI000149,ORD071002,PROD00527,1,28238
OI000150,ORD055769,PROD00180,1,91758
OI000151,ORD059802,PROD00444,4,361812
OI000152,ORD026716,PROD00450,3,789
OI000153,ORD081920,PROD00736,1,37961
OI000154,ORD061140,PROD00125,2,178244
OI000155,ORD038928,PROD00848,3,142197
OI000156,ORD078473,PROD00760,4,239568
OI000157,ORD068576,PROD00369,3,55104
OI000158,ORD094241,PROD00374,4,288984
OI000159,ORD028051,PROD00196,2,111708
OI000160,ORD069823,PROD00200,4,244184
OI000161,ORD018369,PROD00381,1,49941
OI000162,ORD000060,PROD00402,1,54923
OI000163,ORD081242,PROD00133,3,177867
OI000164,ORD074759,PROD00515,4,307664
OI000165,ORD074419,PROD00447,2,94352
OI000166,ORD041530,PROD00671,3,114000
OI000167,ORD081864,PROD00934,1,9383
OI000168,ORD059432,PROD00324,1,6821
OI000169,ORD052252,PROD00316,4,209560
OI000170,ORD027437,PROD00739,1,10358
OI000171,ORD067748,PROD00786,4,333876
OI000172,ORD099928,PROD00786,4,333876
OI000173,ORD022963,PROD00589,3,140712
OI000174,ORD075081,PROD00071,1,53651
OI000175,ORD018129,PROD00129,2,148544
OI000176,ORD016414,PROD00807,4,171684
OI000177,ORD086954,PROD00184,2,115768
OI000178,ORD048159,PROD00493,3,154497
OI000179,ORD012476,PROD00907,4,52960
OI000180,ORD021464,PROD00792,3,24297
OI000181,ORD019884,PROD00492,3,266667
OI000182,ORD003006,PROD00489,3,273000
OI000183,ORD024035,PROD00798,1,19815
OI000184,ORD086575,PROD00203,4,135972
OI000185,ORD095576,PROD00557,4,140256
OI000186,ORD038151,PROD00103,3,173448
OI000187,ORD089821,PROD00286,3,143892
OI000188,ORD049929,PROD00180,1,91758
OI000189,ORD069288,PROD00988,3,114273
OI000190,ORD091285,PROD00872,3,263988
OI000191,ORD029628,PROD00031,3,109263
OI000192,ORD009653,PROD00146,2,188376
OI000193,ORD057920,PROD00711,2,189666
OI000194,ORD083001,PROD00290,4,171140
OI000195,ORD070405,PROD00408,4,275712
OI000196,ORD058569,PROD00974,4,244404
OI000197,ORD012875,PROD00365,2,104576
OI000198,ORD024026,PROD00006,1,79234
OI000199,ORD094518,PROD00410,3,37533
OI000200,ORD006948,PROD00165,2,128548
OI000201,ORD009114,PROD00862,1,22769
OI000202,ORD013946,PROD00008,2,39216
OI000203,ORD027033,PROD00492,1,88889
OI000204,ORD063108,PROD00109,2,27134
OI000205,ORD044857,PROD00968,2,158250
OI000206,ORD068471,PROD00095,1,45479
OI000207,ORD000805,PROD00823,1,92673
OI000208,ORD011781,PROD00320,4,162244
OI000209,ORD076165,PROD00630,3,139758
OI000210,ORD029380,PROD00236,3,160389
OI000211,ORD024441,PROD00566,3,208857
OI000212,ORD065904,PROD00187,3,297519
OI000213,ORD095535,PROD00122,3,218064
OI000214,ORD008369,PROD00242,4,171712
OI000215,ORD076712,PROD00976,1,51807
OI000216,ORD006980,PROD00898,2,111636
OI000217,ORD039461,PROD00716,1,95386
OI000218,ORD060739,PROD00418,3,153888
OI000219,ORD065658,PROD00669,1,31756
OI000220,ORD045597,PROD00211,4,57240
OI000221,ORD086589,PROD00227,3,103809
OI000222,ORD059065,PROD00900,1,45332
OI000223,ORD001427,PROD00331,4,378292
OI000224,ORD033019,PROD00524,3,210501
OI000225,ORD028405,PROD00742,2,190094
OI000226,ORD069474,PROD00820,4,6124
OI000227,ORD051405,PROD00340,4,365380
OI000228,ORD016814,PROD00983,3,64452
OI000229,ORD016811,PROD00478,4,362544
OI000230,ORD016075,PROD00887,2,39092
OI000231,ORD035565,PROD00317,4,376524
OI000232,ORD047595,PROD00656,4,329872
OI000233,ORD067228,PROD00247,2,58164
OI000234,ORD033419,PROD00154,1,34184
OI000235,ORD060354,PROD00435,4,293576
OI000236,ORD078535,PROD00096,4,314848
OI000237,ORD091682,PROD00586,4,311644
OI000238,ORD079943,PROD00264,1,62811
OI000239,ORD098987,PROD00466,4,56624
OI000240,ORD043632,PROD00540,2,70488
OI000241,ORD094345,PROD00971,2,190172
OI000242,ORD089286,PROD00776,3,281724
OI000243,ORD047352,PROD00608,2,48022
OI000244,ORD055046,PROD00434,3,19944
OI000245,ORD021586,PROD00844,4,163540
OI000246,ORD085205,PROD00850,4,123128
OI000247,ORD051428,PROD00742,3,285141
OI000248,ORD025080,PROD00397,2,194918
OI000249,ORD047010,PROD00225,4,58336
OI000250,ORD036488,PROD00249,4,355332
OI000251,ORD031292,PROD00395,3,27522
OI000252,ORD073472,PROD00155,4,223704
OI000253,ORD064916,PROD00689,1,23862
OI000254,ORD059653,PROD00717,1,6743
OI000255,ORD027093,PROD00111,1,54791
OI000256,ORD051422,PROD00009,4,169548
OI000257,ORD094562,PROD00388,1,45036
OI000258,ORD018564,PROD00411,1,57109
OI000259,ORD011525,PROD00899,2,89458
OI000260,ORD052362,PROD00506,4,168364
OI000261,ORD031051,PROD00988,1,38091
OI000262,ORD083840,PROD00642,3,246126
OI000263,ORD024740,PROD00371,4,345476
OI000264,ORD039954,PROD00813,1,7810
OI000265,ORD099363,PROD00314,1,73265
OI000266,ORD065488,PROD00574,4,233516
OI000267,ORD007986,PROD00091,1,39410
OI000268,ORD034375,PROD00227,4,138412
OI000269,ORD027151,PROD00900,2,90664
OI000270,ORD088017,PROD00787,1,25222
OI000271,ORD023502,PROD00787,4,100888
OI000272,ORD061661,PROD00744,4,115816
OI000273,ORD060492,PROD00692,3,55239
OI000274,ORD018564,PROD00389,1,29894
OI000275,ORD012374,PROD00287,2,169032
OI000276,ORD026075,PROD00409,2,197646
OI000277,ORD017010,PROD00521,4,40968
OI000278,ORD035620,PROD00800,1,15178
OI000279,ORD052358,PROD00451,1,41524
OI000280,ORD066526,PROD00721,1,65797
OI000281,ORD083190,PROD00709,4,272796
OI000282,ORD021191,PROD00933,1,63970
OI000283,ORD017659,PROD00739,3,31074
OI000284,ORD038923,PROD00174,3,205464
OI000285,ORD079703,PROD00743,4,22276
OI000286,ORD070918,PROD00544,2,154920
OI000287,ORD050428,PROD00063,4,368636
OI000288,ORD035697,PROD00067,3,14580
OI000289,ORD011184,PROD00043,1,27823
OI000290,ORD035035,PROD00282,3,264831
OI000291,ORD008354,PROD00891,3,293856
OI000292,ORD094371,PROD00124,3,11262
OI000293,ORD080105,PROD00598,1,48858
OI000294,ORD026976,PROD00158,1,32010
OI000295,ORD039167,PROD00263,4,367008
OI000296,ORD098532,PROD00374,2,144492
OI000297,ORD051233,PROD00960,2,84142
OI000298,ORD056291,PROD00764,4,122188
OI000299,ORD077728,PROD00376,2,80044
OI000300,ORD073438,PROD00024,4,159928
OI000301,ORD077420,PROD00119,4,176956
OI000302,ORD029299,PROD00590,2,154142
OI000303,ORD031054,PROD00340,2,182690
OI000304,ORD064536,PROD00009,4,169548
OI000305,ORD072345,PROD00960,2,84142
OI000306,ORD030638,PROD00769,3,43716
OI000307,ORD043659,PROD00091,2,78820
OI000308,ORD017757,PROD00041,2,7652
OI000309,ORD012420,PROD00289,4,152668
OI000310,ORD056703,PROD00231,3,294651
OI000311,ORD002275,PROD00160,4,356080
OI000312,ORD020920,PROD00168,2,189960
OI000313,ORD066482,PROD00342,3,113355
OI000314,ORD001806,PROD00917,2,186738
OI000315,ORD087557,PROD00926,1,59734
OI000316,ORD042953,PROD00197,3,187614
OI000317,ORD041981,PROD00950,4,160244
OI000318,ORD000305,PROD00350,4,285632
OI000319,ORD075625,PROD00859,1,50701
OI000320,ORD032466,PROD00496,2,147432
OI000321,ORD081057,PROD00421,3,289530
OI000322,ORD064282,PROD00308,1,87568
OI000323,ORD075490,PROD00395,2,18348
OI000324,ORD014406,PROD00119,2,88478
OI000325,ORD054587,PROD00666,1,79678
OI000326,ORD021736,PROD00314,1,73265
OI000327,ORD008315,PROD00955,4,81816
OI000328,ORD082757,PROD00336,3,90252
OI000329,ORD089756,PROD00580,4,155256
OI000330,ORD064469,PROD00782,3,251760
OI000331,ORD026259,PROD00610,4,330664
OI000332,ORD086659,PROD00029,1,4214
OI000333,ORD066336,PROD00831,2,100314
OI000334,ORD082097,PROD00266,4,75408
OI000335,ORD058368,PROD00431,3,210351
OI000336,ORD029101,PROD00584,2,155050
OI000337,ORD025817,PROD00761,2,90706
OI000338,ORD061110,PROD00757,3,65163
OI000339,ORD014041,PROD00257,3,244611
OI000340,ORD094559,PROD00085,3,99822
OI000341,ORD072633,PROD00418,1,51296
OI000342,ORD057795,PROD00834,2,19866
OI000343,ORD018809,PROD00861,2,5278
OI000344,ORD093611,PROD00113,1,12389
OI000345,ORD043368,PROD00447,2,94352
OI000346,ORD004788,PROD00308,1,87568
OI000347,ORD065458,PROD00400,3,292917
OI000348,ORD087629,PROD00977,4,133372
OI000349,ORD088570,PROD00663,4,137184
OI000350,ORD022860,PROD00935,3,92019
OI000351,ORD044017,PROD00885,3,46356
OI000352,ORD019159,PROD00468,2,52270
OI000353,ORD086564,PROD00004,4,123036
OI000354,ORD050168,PROD00879,4,25616
OI000355,ORD021036,PROD00100,1,6112
OI000356,ORD056907,PROD00975,2,98518
OI000357,ORD070041,PROD00047,4,125696
OI000358,ORD008560,PROD00460,3,75663
OI000359,ORD004500,PROD00052,4,90172
OI000360,ORD009705,PROD00903,4,203076
OI000361,ORD074830,PROD00095,3,136437
OI000362,ORD060701,PROD00479,4,258964
OI000363,ORD088564,PROD00233,4,77204
OI000364,ORD089802,PROD00453,1,70431
OI000365,ORD000201,PROD00553,1,86305
OI000366,ORD017508,PROD00945,4,3524
OI000367,ORD071610,PROD00321,2,147800
OI000368,ORD045440,PROD00388,2,90072
OI000369,ORD029082,PROD00248,1,307
OI000370,ORD097144,PROD00640,3,54411
OI000371,ORD052139,PROD00465,1,73030
OI000372,ORD042734,PROD00550,4,238640
OI000373,ORD091721,PROD00097,1,37750
OI000374,ORD071233,PROD00080,4,239956
OI000375,ORD086218,PROD00862,2,45538
OI000376,ORD067057,PROD00202,3,53175
OI000377,ORD007489,PROD00789,2,164012
OI000378,ORD076774,PROD00031,4,145684
OI000379,ORD090088,PROD00938,3,17622
OI000380,ORD061173,PROD00500,2,193644
OI000381,ORD014023,PROD00499,3,169776
OI000382,ORD021302,PROD00988,2,76182
OI000383,ORD095489,PROD00507,2,141152
OI000384,ORD098515,PROD00877,3,20064
OI000385,ORD037246,PROD00029,3,12642
OI000386,ORD086704,PROD00072,4,46624
OI000387,ORD044622,PROD00089,1,93400
OI000388,ORD013408,PROD00306,4,49716
OI000389,ORD064028,PROD00270,3,40485
OI000390,ORD001416,PROD00707,2,119528
OI000391,ORD036027,PROD00303,1,62029
OI000392,ORD023329,PROD00081,3,81261
OI000393,ORD008817,PROD00418,2,102592
OI000394,ORD004297,PROD00106,1,36478
OI000395,ORD001667,PROD00094,4,148056
OI000396,ORD088744,PROD00266,4,75408
OI000397,ORD032286,PROD00384,2,191588
OI000398,ORD058633,PROD00186,1,87036
OI000399,ORD094999,PROD00145,4,38140
OI000400,ORD060811,PROD00984,3,63414
OI000401,ORD064355,PROD00313,4,252932
OI000402,ORD042187,PROD00623,2,26314
OI000403,ORD010583,PROD00090,2,174526
OI000404,ORD089300,PROD00117,4,345860
OI000405,ORD060868,PROD00373,1,92922
OI000406,ORD000259,PROD00037,4,15248
OI000407,ORD036617,PROD00576,4,107624
OI000408,ORD043327,PROD00051,1,96646
OI000409,ORD092214,PROD00497,4,28796
OI000410,ORD040973,PROD00555,1,57813
OI000411,ORD043481,PROD00744,3,86862
OI000412,ORD062148,PROD00864,2,41488
OI000413,ORD098405,PROD00796,2,50758
OI000414,ORD074032,PROD00766,2,60708
OI000415,ORD007097,PROD00901,2,173288
OI000416,ORD091164,PROD00751,2,169660
OI000417,ORD051419,PROD00500,2,193644
OI000418,ORD003169,PROD00686,1,5210
OI000419,ORD057241,PROD00410,4,50044
OI000420,ORD016971,PROD00582,2,111038
OI000421,ORD029688,PROD00585,2,186098
OI000422,ORD089178,PROD00671,2,76000
OI000423,ORD008431,PROD00739,1,10358
OI000424,ORD064986,PROD00284,2,71370
OI000425,ORD033112,PROD00998,2,22432
OI000426,ORD020801,PROD00271,2,172114
OI000427,ORD083725,PROD00505,3,277080
OI000428,ORD003139,PROD00729,3,166818
OI000429,ORD068110,PROD00702,4,258116
OI000430,ORD080463,PROD00874,4,116620
OI000431,ORD051505,PROD00515,1,76916
OI000432,ORD070821,PROD00487,1,28771
OI000433,ORD015395,PROD00691,1,9696
OI000434,ORD083500,PROD00215,1,10206
OI000435,ORD029633,PROD00068,1,32879
OI000436,ORD031276,PROD00080,1,59989
OI000437,ORD025859,PROD00750,3,151164
OI000438,ORD052653,PROD00324,2,13642
OI000439,ORD022347,PROD00837,2,99666
OI000440,ORD007973,PROD00373,3,278766
OI000441,ORD062072,PROD00476,2,6582
OI000442,ORD072316,PROD00605,2,32194
OI000443,ORD068798,PROD00268,1,82305
OI000444,ORD023711,PROD00346,4,141592
OI000445,ORD036331,PROD00851,3,293694
OI000446,ORD055385,PROD00965,2,52980
OI000447,ORD004821,PROD00197,2,125076
OI000448,ORD081874,PROD00005,4,127960
OI000449,ORD097759,PROD00825,1,75071
OI000450,ORD065015,PROD00924,2,34188
OI000451,ORD069304,PROD00513,1,28182
OI000452,ORD089368,PROD00790,1,94888
OI000453,ORD078815,PROD00893,2,15242
OI000454,ORD066050,PROD00009,1,42387
OI000455,ORD039080,PROD00762,1,34151
OI000456,ORD076884,PROD00532,3,142023
OI000457,ORD070860,PROD00782,2,167840
OI000458,ORD047486,PROD00366,2,110398
OI000459,ORD046065,PROD00403,2,46824
OI000460,ORD080671,PROD00500,3,290466
OI000461,ORD047741,PROD00060,4,376308
OI000462,ORD037092,PROD00477,4,133040
OI000463,ORD058306,PROD00443,3,178359
OI000464,ORD054953,PROD00504,2,45428
OI000465,ORD006779,PROD00127,1,48468
OI000466,ORD060649,PROD00299,3,13611
OI000467,ORD007598,PROD00923,1,48877
OI000468,ORD021249,PROD00509,4,377576
OI000469,ORD020400,PROD00502,1,30211
OI000470,ORD081622,PROD00746,1,76356
OI000471,ORD009536,PROD00257,2,163074
OI000472,ORD038963,PROD00301,2,129424
OI000473,ORD098721,PROD00172,2,83442
OI000474,ORD075804,PROD00513,3,84546
OI000475,ORD016067,PROD00559,3,75981
OI000476,ORD025355,PROD00535,1,78915
OI000477,ORD034220,PROD00253,1,46579
OI000478,ORD049121,PROD00328,4,292036
OI000479,ORD092074,PROD00069,1,21736
OI000480,ORD091780,PROD00338,3,18003
OI000481,ORD000809,PROD00853,4,57556
OI000482,ORD017576,PROD00666,1,79678
OI000483,ORD017087,PROD00121,2,59668
OI000484,ORD017302,PROD00804,4,11756
OI000485,ORD042653,PROD00531,1,5539
OI000486,ORD042787,PROD00544,3,232380
OI000487,ORD051099,PROD00743,1,5569
OI000488,ORD071225,PROD00746,3,229068
OI000489,ORD011308,PROD00605,2,32194
OI000490,ORD061935,PROD00745,2,12712
OI000491,ORD029361,PROD00135,2,142262
OI000492,ORD069667,PROD00110,3,93330
OI000493,ORD048979,PROD00753,4,109944
OI000494,ORD022455,PROD00560,1,6078
OI000495,ORD081772,PROD00199,3,154803
OI000496,ORD032203,PROD00058,4,310704
OI000497,ORD089525,PROD00984,2,42276
OI000498,ORD018741,PROD00115,4,174784
OI000499,ORD047892,PROD00091,3,118230
OI000500,ORD083426,PROD00759,3,234252
OI000501,ORD067996,PROD00289,2,76334
OI000502,ORD072959,PROD00364,3,84837
OI000503,ORD007191,PROD00478,3,271908
OI000504,ORD019566,PROD00160,4,356080
OI000505,ORD063305,PROD00608,4,96044
OI000506,ORD086430,PROD00074,1,11663
OI000507,ORD053507,PROD00270,3,40485
OI000508,ORD098662,PROD00857,1,77554
OI000509,ORD045949,PROD00924,3,51282
OI000510,ORD008576,PROD00423,1,27705
OI000511,ORD047749,PROD00757,3,65163
OI000512,ORD013463,PROD00708,2,55732
OI000513,ORD045282,PROD00850,2,61564
OI000514,ORD097359,PROD00478,1,90636
OI000515,ORD089091,PROD00343,2,148130
OI000516,ORD018985,PROD00324,3,20463
OI000517,ORD035763,PROD00305,4,395856
OI000518,ORD089196,PROD00428,2,138704
OI000519,ORD002402,PROD00859,3,152103
OI000520,ORD089833,PROD00376,4,160088
OI000521,ORD086913,PROD00122,4,290752
OI000522,ORD080907,PROD00597,2,61882
OI000523,ORD092724,PROD00796,3,76137
OI000524,ORD070053,PROD00437,2,48244
OI000525,ORD046810,PROD00142,2,47538
OI000526,ORD036381,PROD00029,4,16856
OI000527,ORD028576,PROD00321,3,221700
OI000528,ORD003790,PROD00945,4,3524
OI000529,ORD047086,PROD00814,1,67255
OI000530,ORD063608,PROD00195,4,392528
OI000531,ORD090771,PROD00841,2,118326
OI000532,ORD042868,PROD00175,3,48342
OI000533,ORD081191,PROD00363,4,134852
OI000534,ORD051104,PROD00841,4,236652
OI000535,ORD088949,PROD00783,3,253890
OI000536,ORD095495,PROD00678,4,254148
OI000537,ORD071807,PROD00709,3,204597
OI000538,ORD068740,PROD00469,2,61440
OI000539,ORD087797,PROD00180,2,183516
OI000540,ORD055041,PROD00881,2,58800
OI000541,ORD026320,PROD00722,2,32258
OI000542,ORD042328,PROD00742,2,190094
OI000543,ORD068953,PROD00666,1,79678
OI000544,ORD097971,PROD00417,1,99171
OI000545,ORD048549,PROD00208,3,163059
OI000546,ORD071382,PROD00699,3,179688
OI000547,ORD014123,PROD00412,4,62088
OI000548,ORD007766,PROD00313,1,63233
OI000549,ORD050453,PROD00039,2,183672
OI000550,ORD075116,PROD00639,4,35976
OI000551,ORD028573,PROD00290,2,85570
OI000552,ORD047257,PROD00952,3,245748
OI000553,ORD045791,PROD00511,4,145296
OI000554,ORD038791,PROD00451,3,124572
OI000555,ORD050206,PROD00359,2,23942
OI000556,ORD084735,PROD00999,4,263576
OI000557,ORD006381,PROD00576,2,53812
OI000558,ORD076361,PROD00314,4,293060
OI000559,ORD057356,PROD00524,3,210501
OI000560,ORD033101,PROD00077,2,182310
OI000561,ORD063959,PROD00589,2,93808
OI000562,ORD096205,PROD00504,3,68142
OI000563,ORD058526,PROD00759,1,78084
OI000564,ORD007613,PROD00244,4,42504
OI000565,ORD094683,PROD00646,1,9596
OI000566,ORD081761,PROD00367,4,141448
OI000567,ORD096280,PROD00784,2,46768
OI000568,ORD049743,PROD00522,2,96910
OI000569,ORD088208,PROD00965,3,79470
OI000570,ORD033650,PROD00417,4,396684
OI000571,ORD036309,PROD00791,2,125824
OI000572,ORD054587,PROD00021,2,54616
OI000573,ORD044179,PROD00333,1,74620
OI000574,ORD043058,PROD00392,4,201724
OI000575,ORD074569,PROD00635,1,27144
OI000576,ORD035377,PROD00074,2,23326
OI000577,ORD012212,PROD00500,4,387288
OI000578,ORD050976,PROD00352,1,17447
OI000579,ORD080292,PROD00244,4,42504
OI000580,ORD024583,PROD00045,3,233442
OI000581,ORD025917,PROD00100,3,18336
OI000582,ORD027233,PROD00722,3,48387
OI000583,ORD024266,PROD00992,4,342180
OI000584,ORD019729,PROD00818,3,70056
OI000585,ORD053960,PROD00774,1,46950
OI000586,ORD008230,PROD00321,3,221700
OI000587,ORD078921,PROD00327,2,104460
OI000588,ORD097621,PROD00325,2,112508
OI000589,ORD075627,PROD00709,3,204597
OI000590,ORD016795,PROD00358,3,24201
OI000591,ORD095441,PROD00004,1,30759
OI000592,ORD061778,PROD00114,1,45076
OI000593,ORD095576,PROD00988,4,152364
OI000594,ORD037214,PROD00252,4,117712
OI000595,ORD058019,PROD00507,1,70576
OI000596,ORD094539,PROD00452,1,53844
OI000597,ORD075875,PROD00708,3,83598
OI000598,ORD026496,PROD00419,2,160908
OI000599,ORD095757,PROD00811,1,37151
OI000600,ORD085477,PROD00602,3,132150
OI000601,ORD072076,PROD00797,4,105204
OI000602,ORD044184,PROD00295,4,333848
OI000603,ORD045083,PROD00254,3,60609
OI000604,ORD008445,PROD00178,2,80980
OI000605,ORD069398,PROD00699,3,179688
OI000606,ORD037059,PROD00578,3,66804
OI000607,ORD017325,PROD00424,1,99953
OI000608,ORD072968,PROD00563,2,119730
OI000609,ORD056501,PROD00366,4,220796
OI000610,ORD069965,PROD00501,3,143352
OI000611,ORD008267,PROD00794,1,43063
OI000612,ORD073066,PROD00895,2,47162
OI000613,ORD074003,PROD00092,3,168564
OI000614,ORD053770,PROD00760,4,239568
OI000615,ORD093538,PROD00030,4,260260
OI000616,ORD016253,PROD00817,3,137109
OI000617,ORD078017,PROD00367,2,70724
OI000618,ORD069447,PROD00388,1,45036
OI000619,ORD066123,PROD00768,1,57518
OI000620,ORD096710,PROD00669,4,127024
OI000621,ORD066785,PROD00753,3,82458
OI000622,ORD088645,PROD00999,1,65894
OI000623,ORD043369,PROD00435,1,73394
OI000624,ORD006369,PROD00309,2,69388
OI000625,ORD068021,PROD00404,2,86416
OI000626,ORD083890,PROD00008,3,58824
OI000627,ORD038611,PROD00869,3,81084
OI000628,ORD043788,PROD00496,3,221148
OI000629,ORD054709,PROD00938,4,23496
OI000630,ORD068852,PROD00795,3,6588
OI000631,ORD000670,PROD00983,2,42968
OI000632,ORD026675,PROD00659,3,65481
OI000633,ORD040953,PROD00535,4,315660
OI000634,ORD001943,PROD00174,3,205464
