payment_id,order_id,payment_method,payment_status,amount
PAY000062,ORD000062,UPI,Pending,119468.0
PAY000063,ORD000063,UPI,Completed,518204.0
PAY000064,ORD000064,Net Banking,Completed,337034.0
PAY000065,ORD000065,Debit Card,Completed,39260.0
PAY000066,ORD000066,Wallet,Completed,147800.0
PAY000067,ORD000067,Net Banking,Completed,801028.0
PAY000068,ORD000068,Credit Card,Completed,361643.0
PAY000069,ORD000069,Credit Card,Completed,151692.0
PAY000070,ORD000070,Wallet,Completed,284473.0
PAY000071,ORD000071,Debit Card,Completed,680939.0
PAY000072,ORD000072,Debit Card,Completed,
PAY000073,ORD000073,Wallet,Completed,160832.0
PAY000074,ORD000074,Wallet,Completed,122188.0
PAY000075,ORD000075,UPI,Completed,276666.0
PAY000076,ORD000076,Wallet,Completed,163344.0
PAY000077,ORD000077,Wallet,Failed,563754.0
PAY000078,ORD000078,Net Banking,Completed,337547.0
PAY000079,ORD000079,Wallet,Completed,319404.0
PAY000080,ORD000080,Wallet,Completed,98132.0
PAY000081,ORD000081,Credit Card,Completed,330354.0
PAY000082,ORD000082,UPI,Completed,
PAY000083,ORD000083,Wallet,Completed,33648.0
PAY000084,ORD000084,Wallet,Pending,
PAY000085,ORD000085,Debit Card,Completed,113433.0
PAY000086,ORD000086,Credit Card,Completed,
PAY000087,ORD000087,UPI,Pending,72318.0
PAY000088,ORD000088,Debit Card,Completed,
PAY000089,ORD000089,Wallet,Failed,
PAY000090,ORD000090,Credit Card,Completed,52349.0
PAY000091,ORD000091,UPI,Completed,510335.0
PAY000092,ORD000092,Debit Card,Pending,452553.0
PAY000093,ORD000093,Debit Card,Pending,295600.0
PAY000094,ORD000094,UPI,Failed,97492.0
PAY000095,ORD000095,Credit Card,Completed,37167.0
PAY000096,ORD000096,UPI,Completed,664400.0
PAY000097,ORD000097,Net Banking,Pending,114151.0
PAY000098,ORD000098,Credit Card,Completed,226608.0
PAY000099,ORD000099,Credit Card,Completed,
PAY000100,ORD000100,Net Banking,Completed,
PAY000101,ORD000101,Net Banking,Completed,
PAY000102,ORD000102,Debit Card,Completed,207427.0
PAY000103,ORD000103,Credit Card,Failed,
PAY000104,ORD000104,UPI,Completed,237471.0
PAY000105,ORD000105,Debit Card,Completed,141448.0
PAY000106,ORD000106,Credit Card,Completed,90270.0
PAY000107,ORD000107,Net Banking,Completed,222816.0
PAY000108,ORD000108,Debit Card,Completed,804600.0
PAY000109,ORD000109,Wallet,Completed,108388.0
PAY000110,ORD000110,Wallet,Completed,710872.0
PAY000111,ORD000111,Net Banking,Failed,243770.0
PAY000112,ORD000112,Credit Card,Completed,231616.0
PAY000113,ORD000113,Net Banking,Completed,48045.0
PAY000114,ORD000114,Debit Card,Completed,86835.0
PAY000115,ORD000115,Debit Card,Completed,115628.0
PAY000116,ORD000116,UPI,Completed,8806.0
PAY000117,ORD000117,Wallet,Completed,59865.0
PAY000118,ORD000118,UPI,Completed,
PAY000119,ORD000119,Credit Card,Pending,42706.0
PAY000120,ORD000120,Wallet,Pending,297480.0
PAY000121,ORD000121,Net Banking,Completed,603752.0
PAY000122,ORD000122,Net Banking,Failed,242607.0
PAY000123,ORD000123,Wallet,Completed,284910.0
PAY000124,ORD000124,Wallet,Completed,
PAY000125,ORD000125,Wallet,Completed,247237.0
PAY000126,ORD000126,Credit Card,Completed,
PAY000127,ORD000127,UPI,Completed,369176.0
PAY000128,ORD000128,Credit Card,Completed,240369.0
PAY000129,ORD000129,UPI,Completed,
PAY000130,ORD000130,Credit Card,Completed,176554.0
PAY000131,ORD000131,Wallet,Completed,
PAY000132,ORD000132,Debit Card,Completed,284331.0
PAY000133,ORD000133,Wallet,Completed,131100.0
PAY000134,ORD000134,Debit Card,Completed,211873.0
PAY000135,ORD000135,UPI,Completed,
PAY000136,ORD000136,Wallet,Completed,195624.0
PAY000137,ORD000137,Wallet,Completed,230298.0
PAY000138,ORD000138,UPI,Completed,69673.0
PAY000139,ORD000139,Net Banking,Completed,
PAY000140,ORD000140,UPI,Completed,145120.0
PAY000141,ORD000141,UPI,Completed,79264.0
PAY000142,ORD000142,Credit Card,Completed,61020.0
PAY000143,ORD000143,Credit Card,Failed,
PAY000144,ORD000144,UPI,Failed,
PAY000145,ORD000145,UPI,Completed,93914.0
PAY000146,ORD000146,Credit Card,Failed,87654.0
PAY000147,ORD000147,Net Banking,Completed,
PAY000148,ORD000148,Net Banking,Completed,94682.0
PAY000149,ORD000149,Wallet,Failed,
PAY000150,ORD000150,Wallet,Completed,390472.0
PAY000151,ORD000151,Net Banking,Completed,35450.0
PAY000152,ORD000152,Wallet,Failed,163004.0
PAY000153,ORD000153,Net Banking,Completed,249476.0
PAY000154,ORD000154,Net Banking,Completed,325458.0
PAY000155,ORD000155,Net Banking,Completed,124383.0
PAY000156,ORD000156,Credit Card,Completed,202804.0
PAY000157,ORD000157,Wallet,Completed,329076.0
PAY000158,ORD000158,Credit Card,Completed,293694.0
PAY000159,ORD000159,Net Banking,Completed,131594.0
PAY000160,ORD000160,Debit Card,Completed,114808.0
PAY000161,ORD000161,Wallet,Completed,68520.0
PAY000162,ORD000162,Debit Card,Completed,
PAY000163,ORD000163,Wallet,Completed,69020.0
PAY000164,ORD000164,Net Banking,Completed,
PAY000165,ORD000165,Net Banking,Completed,292194.0
PAY000166,ORD000166,Net Banking,Completed,258430.0
PAY000167,ORD000167,Debit Card,Completed,331751.0
PAY000168,ORD000168,Credit Card,Completed,37795.0
PAY000169,ORD000169,Wallet,Completed,41319.0
PAY000170,ORD000170,Credit Card,Completed,61808.0
PAY000171,ORD000171,Wallet,Completed,352576.0
PAY000172,ORD000172,Debit Card,Pending,189078.0
PAY000173,ORD000173,Debit Card,Completed,1047692.0
PAY000174,ORD000174,UPI,Completed,
PAY000175,ORD000175,Credit Card,Completed,675488.0
PAY000176,ORD000176,Credit Card,Completed,6688.0
PAY000177,ORD000177,Credit Card,Failed,
PAY000178,ORD000178,Credit Card,Completed,
PAY000179,ORD000179,Wallet,Completed,
PAY000180,ORD000180,Credit Card,Completed,29409.0
PAY000181,ORD000181,Wallet,Completed,
PAY000182,ORD000182,UPI,Failed,623970.0
PAY000183,ORD000183,Wallet,Failed,145820.0
PAY000184,ORD000184,Debit Card,Failed,246752.0
PAY000185,ORD000185,Wallet,Completed,383145.0
PAY000186,ORD000186,UPI,Completed,229175.0
PAY000187,ORD000187,Credit Card,Completed,
PAY000188,ORD000188,Debit Card,Completed,
PAY000189,ORD000189,Wallet,Failed,63233.0
PAY000190,ORD000190,Credit Card,Failed,264633.0
PAY000191,ORD000191,Net Banking,Completed,186052.0
PAY000192,ORD000192,UPI,Completed,173625.0
PAY000193,ORD000193,Credit Card,Completed,137509.0
PAY000194,ORD000194,Net Banking,Completed,
PAY000195,ORD000195,UPI,Completed,
PAY000196,ORD000196,UPI,Pending,157882.0
PAY000197,ORD000197,Wallet,Completed,333382.0
PAY000198,ORD000198,Debit Card,Completed,249646.0
PAY000199,ORD000199,Net Banking,Completed,54897.0
PAY000200,ORD000200,UPI,Completed,
PAY000201,ORD000201,Wallet,Completed,635608.0
PAY000202,ORD000202,Debit Card,Completed,107473.0
PAY000203,ORD000203,UPI,Completed,
PAY000204,ORD000204,Wallet,Completed,365105.0
PAY000205,ORD000205,Net Banking,Completed,33112.0
PAY000206,ORD000206,Wallet,Completed,424630.0
PAY000207,ORD000207,Net Banking,Completed,12712.0
PAY000208,ORD000208,UPI,Failed,761.0
PAY000209,ORD000209,Credit Card,Completed,196844.0
PAY000210,ORD000210,Wallet,Completed,72066.0
PAY000211,ORD000211,UPI,Failed,116896.0
PAY000212,ORD000212,Credit Card,Completed,80073.0
PAY000213,ORD000213,Credit Card,Completed,269625.0
PAY000214,ORD000214,Net Banking,Completed,308120.0
PAY000215,ORD000215,UPI,Completed,92346.0
PAY000216,ORD000216,Debit Card,Pending,309488.0
PAY000217,ORD000217,Debit Card,Completed,191038.0
PAY000218,ORD000218,Wallet,Completed,121538.0
PAY000219,ORD000219,Wallet,Failed,484334.0
PAY000220,ORD000220,UPI,Failed,321727.0
PAY000221,ORD000221,Net Banking,Completed,456857.0
PAY000222,ORD000222,Wallet,Completed,823908.0
PAY000223,ORD000223,Credit Card,Completed,
PAY000224,ORD000224,Debit Card,Completed,534458.0
PAY000225,ORD000225,Net Banking,Completed,2283.0
PAY000226,ORD000226,Debit Card,Completed,421348.0
PAY000227,ORD000227,Net Banking,Completed,300110.0
PAY000228,ORD000228,Credit Card,Completed,243116.0
PAY000229,ORD000229,Debit Card,Completed,26048.0
PAY000230,ORD000230,Net Banking,Completed,115951.0
PAY000231,ORD000231,Credit Card,Completed,502941.0
PAY000232,ORD000232,UPI,Completed,193997.0
PAY000233,ORD000233,Debit Card,Completed,232355.0
PAY000234,ORD000234,Net Banking,Failed,287850.0
PAY000235,ORD000235,Debit Card,Completed,
PAY000236,ORD000236,Credit Card,Completed,205032.0
PAY000237,ORD000237,Debit Card,Completed,54626.0
PAY000238,ORD000238,Debit Card,Failed,78405.0
PAY000239,ORD000239,Credit Card,Completed,166557.0
PAY000240,ORD000240,Debit Card,Completed,168060.0
PAY000241,ORD000241,Credit Card,Completed,
PAY000242,ORD000242,Credit Card,Completed,288274.0
PAY000243,ORD000243,Wallet,Completed,201606.0
PAY000244,ORD000244,Debit Card,Completed,185990.0
PAY000245,ORD000245,Wallet,Completed,
PAY000246,ORD000246,Debit Card,Completed,83336.0
PAY000247,ORD000247,Wallet,Completed,
PAY000248,ORD000248,Net Banking,Completed,119528.0
PAY000249,ORD000249,UPI,Completed,101016.0
PAY000250,ORD000250,UPI,Failed,287997.0
PAY000251,ORD000251,Debit Card,Pending,
PAY000252,ORD000252,Net Banking,Completed,158134.0
PAY000253,ORD000253,Credit Card,Completed,274457.0
PAY000254,ORD000254,UPI,Completed,30556.0
PAY000255,ORD000255,Wallet,Completed,136059.0
PAY000256,ORD000256,Wallet,Completed,91641.0
PAY000257,ORD000257,Net Banking,Completed,211728.0
PAY000258,ORD000258,Wallet,Completed,356445.0
PAY000259,ORD000259,UPI,Failed,64037.0
PAY000260,ORD000260,Credit Card,Completed,351310.0
PAY000261,ORD000261,Net Banking,Completed,239460.0
PAY000262,ORD000262,Debit Card,Completed,
PAY000263,ORD000263,Debit Card,Completed,375490.0
PAY000264,ORD000264,Credit Card,Completed,344390.0
PAY000265,ORD000265,Debit Card,Completed,
PAY000266,ORD000266,Debit Card,Completed,762933.0
PAY000267,ORD000267,Credit Card,Completed,151434.0
PAY000268,ORD000268,Wallet,Pending,
PAY000269,ORD000269,Net Banking,Completed,194282.0
PAY000270,ORD000270,Credit Card,Completed,409260.0
PAY000271,ORD000271,Credit Card,Completed,270936.0
PAY000272,ORD000272,Net Banking,Completed,359688.0
PAY000273,ORD000273,UPI,Completed,312560.0
PAY000274,ORD000274,Credit Card,Failed,494825.0
PAY000275,ORD000275,Net Banking,Completed,87717.0
PAY000276,ORD000276,Debit Card,Completed,369188.0
PAY000277,ORD000277,UPI,Completed,
PAY000278,ORD000278,Wallet,Completed,226188.0
PAY000279,ORD000279,Net Banking,Completed,658050.0
PAY000280,ORD000280,Credit Card,Completed,
PAY000281,ORD000281,Credit Card,Completed,
PAY000282,ORD000282,Credit Card,Completed,242812.0
PAY000283,ORD000283,Net Banking,Completed,80812.0
PAY000284,ORD000284,Debit Card,Completed,555320.0
PAY000285,ORD000285,Net Banking,Completed,30673.0
PAY000286,ORD000286,Net Banking,Failed,197960.0
PAY000287,ORD000287,Net Banking,Completed,
PAY000288,ORD000288,UPI,Completed,468484.0
PAY000289,ORD000289,Wallet,Completed,
PAY000290,ORD000290,UPI,Pending,374732.0
PAY000291,ORD000291,UPI,Completed,
PAY000292,ORD000292,Debit Card,Completed,110630.0
PAY000293,ORD000293,UPI,Completed,449646.0
PAY000294,ORD000294,Net Banking,Completed,50302.0
PAY000295,ORD000295,Credit Card,Completed,597636.0
PAY000296,ORD000296,Credit Card,Completed,193226.0
PAY000297,ORD000297,UPI,Completed,408556.0
PAY000298,ORD000298,Wallet,Completed,75154.0
PAY000299,ORD000299,UPI,Completed,165768.0
PAY000300,ORD000300,Wallet,Completed,79470.0
PAY000301,ORD000301,Credit Card,Completed,93847.0
PAY000302,ORD000302,Credit Card,Completed,81671.0
PAY000303,ORD000303,Debit Card,Completed,285919.0
PAY000304,ORD000304,Credit Card,Pending,367053.0
PAY000305,ORD000305,UPI,Failed,692745.0
PAY000306,ORD000306,Credit Card,Completed,
PAY000307,ORD000307,Debit Card,Completed,367512.0
PAY000308,ORD000308,UPI,Completed,109448.0
PAY000309,ORD000309,UPI,Completed,320555.0
PAY000310,ORD000310,Debit Card,Completed,106197.0
PAY000311,ORD000311,Debit Card,Failed,59764.0
PAY000312,ORD000312,Net Banking,Completed,
PAY000313,ORD000313,Debit Card,Completed,572162.0
PAY000314,ORD000314,Wallet,Completed,
PAY000315,ORD000315,Wallet,Completed,53175.0
PAY000316,ORD000316,Net Banking,Completed,201471.0
PAY000317,ORD000317,Credit Card,Completed,30673.0
PAY000318,ORD000318,UPI,Pending,
PAY000319,ORD000319,Net Banking,Completed,98016.0
PAY000320,ORD000320,Credit Card,Completed,
PAY000321,ORD000321,Net Banking,Completed,245201.0
PAY000322,ORD000322,Wallet,Completed,35752.0
PAY000323,ORD000323,Credit Card,Completed,169278.0
PAY000324,ORD000324,UPI,Completed,12002.0
PAY000325,ORD000325,Credit Card,Completed,336270.0
PAY000326,ORD000326,Net Banking,Completed,67986.0
PAY000327,ORD000327,Wallet,Pending,536466.0
PAY000328,ORD000328,Net Banking,Completed,
PAY000329,ORD000329,UPI,Completed,
PAY000330,ORD000330,Credit Card,Completed,312332.0
PAY000331,ORD000331,Credit Card,Pending,250788.0
PAY000332,ORD000332,Wallet,Completed,
PAY000333,ORD000333,Credit Card,Completed,
PAY000334,ORD000334,Credit Card,Failed,
PAY000335,ORD000335,Wallet,Completed,17412.0
PAY000336,ORD000336,Credit Card,Completed,
PAY000337,ORD000337,Wallet,Completed,35913.0
PAY000338,ORD000338,UPI,Completed,280249.0
PAY000339,ORD000339,Net Banking,Completed,255240.0
PAY000340,ORD000340,Credit Card,Completed,
PAY000341,ORD000341,Wallet,Failed,723724.0
PAY000342,ORD000342,Debit Card,Completed,287728.0
PAY000343,ORD000343,Wallet,Completed,21213.0
PAY000344,ORD000344,Wallet,Completed,105156.0
PAY000345,ORD000345,Debit Card,Completed,571984.0
PAY000346,ORD000346,Debit Card,Pending,272727.0
PAY000347,ORD000347,Credit Card,Completed,269212.0
PAY000348,ORD000348,UPI,Completed,
PAY000349,ORD000349,Debit Card,Completed,
PAY000350,ORD000350,Wallet,Completed,282172.0
PAY000351,ORD000351,Credit Card,Completed,99666.0
PAY000352,ORD000352,Net Banking,Completed,465787.0
PAY000353,ORD000353,Net Banking,Completed,595714.0
PAY000354,ORD000354,Debit Card,Completed,601419.0
PAY000355,ORD000355,Net Banking,Completed,356660.0
PAY000356,ORD000356,Net Banking,Failed,
PAY000357,ORD000357,Debit Card,Completed,193873.0
PAY000358,ORD000358,Credit Card,Completed,102104.0
PAY000359,ORD000359,UPI,Completed,218536.0
PAY000360,ORD000360,UPI,Completed,217336.0
PAY000361,ORD000361,Wallet,Completed,244354.0
PAY000362,ORD000362,Debit Card,Completed,186098.0
PAY000363,ORD000363,Wallet,Completed,32108.0
PAY000364,ORD000364,Credit Card,Completed,45680.0
PAY000365,ORD000365,Credit Card,Completed,158666.0
PAY000366,ORD000366,Wallet,Completed,297026.0
PAY000367,ORD000367,Net Banking,Completed,14158.0
PAY000368,ORD000368,Credit Card,Completed,248776.0
PAY000369,ORD000369,Credit Card,Completed,417180.0
PAY000370,ORD000370,Credit Card,Completed,191934.0
PAY000371,ORD000371,Debit Card,Failed,
PAY000372,ORD000372,Wallet,Completed,
PAY000373,ORD000373,UPI,Completed,37014.0
PAY000374,ORD000374,Net Banking,Completed,419002.0
PAY000375,ORD000375,Wallet,Pending,
PAY000376,ORD000376,Debit Card,Completed,162726.0
PAY000377,ORD000377,Net Banking,Completed,68271.0
PAY000378,ORD000378,Net Banking,Completed,
PAY000379,ORD000379,Credit Card,Completed,
PAY000380,ORD000380,UPI,Completed,58006.0
PAY000381,ORD000381,Net Banking,Completed,
PAY000382,ORD000382,UPI,Completed,49716.0
PAY000383,ORD000383,Credit Card,Completed,304998.0
PAY000384,ORD000384,Wallet,Pending,532386.0
PAY000385,ORD000385,Net Banking,Completed,39954.0
PAY000386,ORD000386,UPI,Completed,472177.0
PAY000387,ORD000387,UPI,Completed,269010.0
PAY000388,ORD000388,UPI,Completed,333060.0
PAY000389,ORD000389,Debit Card,Completed,74796.0
PAY000390,ORD000390,Credit Card,Completed,43208.0
PAY000391,ORD000391,UPI,Failed,98552.0
PAY000392,ORD000392,Wallet,Completed,
PAY000393,ORD000393,Net Banking,Completed,175095.0
PAY000394,ORD000394,Debit Card,Completed,24696.0
PAY000395,ORD000395,Debit Card,Failed,49716.0
PAY000396,ORD000396,Credit Card,Completed,209152.0
PAY000397,ORD000397,Debit Card,Completed,
PAY000398,ORD000398,UPI,Completed,237702.0
PAY000399,ORD000399,Debit Card,Completed,114161.0
PAY000400,ORD000400,Credit Card,Completed,17730.0
PAY000401,ORD000401,UPI,Completed,186316.0
PAY000402,ORD000402,Credit Card,Completed,129039.0
PAY000403,ORD000403,Net Banking,Completed,112728.0
PAY000404,ORD000404,Net Banking,Completed,61916.0
PAY000405,ORD000405,Debit Card,Completed,
PAY000406,ORD000406,Credit Card,Completed,108348.0
PAY000407,ORD000407,Wallet,Completed,59779.0
PAY000408,ORD000408,Credit Card,Completed,442516.0
PAY000409,ORD000409,UPI,Completed,68199.0
PAY000410,ORD000410,Wallet,Completed,126576.0
PAY000411,ORD000411,Debit Card,Completed,232656.0
PAY000412,ORD000412,Credit Card,Completed,
PAY000413,ORD000413,Debit Card,Completed,58597.0
PAY000414,ORD000414,Net Banking,Completed,
PAY000415,ORD000415,Credit Card,Completed,124880.0
PAY000416,ORD000416,Wallet,Pending,
PAY000417,ORD000417,Debit Card,Completed,
PAY000418,ORD000418,Debit Card,Completed,242306.0
PAY000419,ORD000419,Credit Card,Completed,662120.0
PAY000420,ORD000420,UPI,Failed,
PAY000421,ORD000421,UPI,Completed,157482.0
PAY000422,ORD000422,Wallet,Completed,101538.0
PAY000423,ORD000423,Net Banking,Failed,269631.0
PAY000424,ORD000424,UPI,Completed,
PAY000425,ORD000425,Credit Card,Completed,36551.0
PAY000426,ORD000426,UPI,Completed,128958.0
PAY000427,ORD000427,Wallet,Failed,609676.0
PAY000428,ORD000428,Credit Card,Completed,
PAY000429,ORD000429,Credit Card,Pending,226418.0
PAY000430,ORD000430,Credit Card,Completed,91024.0
PAY000431,ORD000431,UPI,Failed,183262.0
PAY000432,ORD000432,Credit Card,Completed,
PAY000433,ORD000433,Credit Card,Completed,
PAY000434,ORD000434,UPI,Completed,229856.0
PAY000435,ORD000435,UPI,Completed,136569.0
PAY000436,ORD000436,Net Banking,Completed,93962.0
PAY000437,ORD000437,Debit Card,Completed,73545.0
PAY000438,ORD000438,Net Banking,Completed,157490.0
PAY000439,ORD000439,UPI,Completed,45353.0
PAY000440,ORD000440,Net Banking,Completed,77167.0
PAY000441,ORD000441,UPI,Completed,
PAY000442,ORD000442,Debit Card,Failed,182731.0
PAY000443,ORD000443,Wallet,Completed,
PAY000444,ORD000444,Wallet,Completed,97459.0
PAY000445,ORD000445,Credit Card,Completed,
PAY000446,ORD000446,UPI,Completed,107040.0
PAY000447,ORD000447,UPI,Completed,345476.0
PAY000448,ORD000448,Debit Card,Failed,151869.0
PAY000449,ORD000449,Debit Card,Completed,7953.0
PAY000450,ORD000450,UPI,Completed,241441.0
PAY000451,ORD000451,Net Banking,Completed,
PAY000452,ORD000452,UPI,Failed,
PAY000453,ORD000453,UPI,Completed,26972.0
PAY000454,ORD000454,UPI,Completed,857975.0
PAY000455,ORD000455,Credit Card,Failed,100862.0
PAY000456,ORD000456,UPI,Completed,113002.0
PAY000457,ORD000457,Debit Card,Completed,518960.0
PAY000458,ORD000458,Debit Card,Completed,383558.0
PAY000459,ORD000459,Net Banking,Completed,564503.0
PAY000460,ORD000460,Credit Card,Completed,450508.0
PAY000461,ORD000461,Credit Card,Completed,374712.0
PAY000462,ORD000462,UPI,Completed,
PAY000463,ORD000463,Credit Card,Completed,171075.0
PAY000464,ORD000464,Net Banking,Completed,295124.0
PAY000465,ORD000465,Net Banking,Completed,94539.0
PAY000466,ORD000466,Wallet,Completed,
PAY000467,ORD000467,Wallet,Completed,417775.0
PAY000468,ORD000468,Credit Card,Completed,
PAY000469,ORD000469,Wallet,Pending,135412.0
PAY000470,ORD000470,UPI,Completed,301613.0
PAY000471,ORD000471,Debit Card,Completed,332566.0
PAY000472,ORD000472,UPI,Completed,
PAY000473,ORD000473,Credit Card,Completed,346167.0
PAY000474,ORD000474,Debit Card,Completed,
PAY000475,ORD000475,Debit Card,Completed,638157.0
PAY000476,ORD000476,Credit Card,Completed,29358.0
PAY000477,ORD000477,UPI,Completed,266596.0
PAY000478,ORD000478,UPI,Completed,323319.0
PAY000479,ORD000479,Net Banking,Completed,75174.0
PAY000480,ORD000480,Wallet,Failed,408374.0
PAY000481,ORD000481,UPI,Failed,142262.0
PAY000482,ORD000482,Net Banking,Completed,77552.0
PAY000483,ORD000483,Debit Card,Completed,210657.0
PAY000484,ORD000484,Net Banking,Completed,
PAY000485,ORD000485,Wallet,Failed,163618.0
PAY000486,ORD000486,UPI,Completed,326552.0
PAY000487,ORD000487,Wallet,Completed,98844.0
PAY000488,ORD000488,UPI,Completed,257096.0
PAY000489,ORD000489,Credit Card,Completed,334729.0
PAY000490,ORD000490,Net Banking,Completed,
PAY000491,ORD000491,Wallet,Completed,46375.0
PAY000492,ORD000492,Net Banking,Completed,592989.0
PAY000493,ORD000493,Credit Card,Completed,374870.0
PAY000494,ORD000494,Wallet,Completed,200638.0
PAY000495,ORD000495,Wallet,Failed,
PAY000496,ORD000496,UPI,Completed,71370.0
PAY000497,ORD000497,Debit Card,Completed,387272.0
PAY000498,ORD000498,Credit Card,Completed,81939.0
PAY000499,ORD000499,Credit Card,Completed,297676.0
PAY000500,ORD000500,Credit Card,Completed,282130.0
PAY000501,ORD000501,Debit Card,Completed,
PAY000502,ORD000502,Wallet,Completed,
PAY000503,ORD000503,Wallet,Completed,
PAY000504,ORD000504,UPI,Completed,
PAY000505,ORD000505,Credit Card,Completed,532824.0
PAY000506,ORD000506,Wallet,Completed,
PAY000507,ORD000507,Net Banking,Completed,428070.0
PAY000508,ORD000508,Debit Card,Pending,521001.0
PAY000509,ORD000509,Wallet,Completed,
PAY000510,ORD000510,UPI,Pending,
PAY000511,ORD000511,Debit Card,Completed,221117.0
PAY000512,ORD000512,Debit Card,Completed,6663.0
PAY000513,ORD000513,Credit Card,Completed,292036.0
PAY000514,ORD000514,Debit Card,Completed,34506.0
PAY000515,ORD000515,Debit Card,Completed,187868.0
PAY000516,ORD000516,Debit Card,Completed,505250.0
PAY000517,ORD000517,Wallet,Completed,217680.0
PAY000518,ORD000518,Debit Card,Failed,
PAY000519,ORD000519,Debit Card,Completed,331201.0
PAY000520,ORD000520,Debit Card,Completed,
PAY000521,ORD000521,Debit Card,Completed,
PAY000522,ORD000522,Wallet,Completed,
PAY000523,ORD000523,Net Banking,Completed,386968.0
PAY000524,ORD000524,Wallet,Pending,254984.0
PAY000525,ORD000525,Wallet,Completed,246908.0
PAY000526,ORD000526,Net Banking,Completed,427219.0
PAY000527,ORD000527,Credit Card,Failed,31107.0
PAY000528,ORD000528,Credit Card,Completed,292774.0
PAY000529,ORD000529,Net Banking,Completed,
PAY000530,ORD000530,UPI,Pending,128304.0
PAY000531,ORD000531,Wallet,Completed,177846.0
PAY000532,ORD000532,Debit Card,Completed,7079.0
PAY000533,ORD000533,Net Banking,Completed,
PAY000534,ORD000534,UPI,Completed,385531.0
PAY000535,ORD000535,Net Banking,Completed,92701.0
PAY000536,ORD000536,Debit Card,Completed,
PAY000537,ORD000537,Debit Card,Completed,195231.0
PAY000538,ORD000538,Net Banking,Failed,12249.0
PAY000539,ORD000539,UPI,Completed,177135.0
PAY000540,ORD000540,Debit Card,Completed,
PAY000541,ORD000541,Credit Card,Completed,58824.0
PAY000542,ORD000542,Credit Card,Completed,128325.0
PAY000543,ORD000543,Credit Card,Completed,452684.0
PAY000544,ORD000544,UPI,Completed,199292.0
PAY000545,ORD000545,UPI,Completed,
PAY000546,ORD000546,Debit Card,Failed,282796.0
